Date,Open,High,Low,Close,Adj Close,Volume
2020-04-08,3.730000,3.880000,3.640000,3.840000,3.840000,6287500
2020-04-09,3.910000,3.990000,3.730000,3.760000,3.760000,5733800
2020-04-13,3.770000,3.880000,3.660000,3.860000,3.860000,6801200
2020-04-14,3.900000,4.030000,3.880000,4.000000,4.000000,4397000
2020-04-15,3.860000,3.870000,3.700000,3.700000,3.700000,4168900
2020-04-16,3.760000,4.100000,3.750000,4.010000,4.010000,8747500
2020-04-17,4.170000,4.290000,4.110000,4.270000,4.270000,7456600
2020-04-20,4.220000,4.320000,4.020000,4.090000,4.090000,5220500
2020-04-21,4.000000,4.150000,3.910000,3.920000,3.920000,4442000
2020-04-22,4.000000,4.060000,3.870000,3.900000,3.900000,4216800
2020-04-23,3.980000,4.130000,3.910000,4.010000,4.010000,4446300
2020-04-24,4.040000,4.070000,3.980000,4.040000,4.040000,3715300
2020-04-27,4.090000,4.260000,4.040000,4.260000,4.260000,4374400
2020-04-28,4.350000,4.400000,4.170000,4.210000,4.210000,3509300
2020-04-29,4.320000,4.430000,4.260000,4.370000,4.370000,4752600
2020-04-30,4.390000,4.390000,4.220000,4.280000,4.280000,2819100
2020-05-01,4.150000,4.190000,3.970000,4.070000,4.070000,5531900
2020-05-04,4.060000,4.290000,4.020000,4.260000,4.260000,4808700
2020-05-05,4.350000,4.410000,4.260000,4.270000,4.270000,4529100
2020-05-06,4.300000,4.620000,4.300000,4.490000,4.490000,5931400
2020-05-07,4.630000,4.740000,4.500000,4.600000,4.600000,6126400
2020-05-08,4.650000,4.750000,4.590000,4.710000,4.710000,4836900
2020-05-11,4.620000,4.680000,4.530000,4.580000,4.580000,3858700
2020-05-12,4.560000,4.680000,4.490000,4.500000,4.500000,4234100
2020-05-13,4.490000,4.600000,4.350000,4.460000,4.460000,7800700
2020-05-14,4.360000,4.490000,4.270000,4.460000,4.460000,5702000
2020-05-15,4.390000,4.490000,4.370000,4.420000,4.420000,3104400
2020-05-18,4.580000,4.640000,4.480000,4.490000,4.490000,3864600
2020-05-19,4.510000,4.600000,4.460000,4.490000,4.490000,3895900
2020-05-20,4.600000,4.780000,4.560000,4.650000,4.650000,3836000
2020-05-21,4.640000,4.690000,4.500000,4.540000,4.540000,3137200
2020-05-22,4.540000,4.600000,4.480000,4.540000,4.540000,2244500
2020-05-26,4.700000,4.800000,4.620000,4.640000,4.640000,5213300
2020-05-27,4.710000,4.730000,4.550000,4.660000,4.660000,4857000
2020-05-28,4.670000,4.720000,4.580000,4.580000,4.580000,3470900
2020-05-29,4.580000,4.660000,4.510000,4.640000,4.640000,4071400
2020-06-01,4.640000,4.990000,4.590000,4.920000,4.920000,17250900
2020-06-02,5.300000,5.500000,5.030000,5.360000,5.360000,19723200
2020-06-03,5.380000,5.430000,5.160000,5.210000,5.210000,5690900
2020-06-04,5.200000,5.330000,5.160000,5.230000,5.230000,4554000
2020-06-05,5.340000,5.560000,5.310000,5.470000,5.470000,5842000
2020-06-08,5.670000,5.840000,5.550000,5.790000,5.790000,6199300
2020-06-09,5.720000,5.730000,5.490000,5.610000,5.610000,3714400
2020-06-10,5.630000,5.680000,5.500000,5.570000,5.570000,2857500
2020-06-11,5.260000,5.330000,5.020000,5.030000,5.030000,5896500
2020-06-12,5.240000,5.350000,5.150000,5.250000,5.250000,4118100
2020-06-15,5.070000,5.080000,4.910000,4.990000,4.990000,6506700
2020-06-16,5.200000,5.290000,5.110000,5.220000,5.220000,5589400
